Designator,Mid X,Mid Y,Rotation,Layer
SW72,353.7712,-98.203,0.0,top
SW73,19.5263,-117.3165,0.0,top
SW74,43.3388,-117.3165,0.0,top
SW75,67.1513,-117.3165,0.0,top
SW76,138.5888,-117.3165,0.0,top
SW77,210.0263,-117.3165,0.0,top
SW78,233.8388,-117.3165,0.0,top
SW79,257.6513,-117.3165,0.0,top
SW8,174.3075,-17.304,0.0,top
SW80,281.4638,-117.3165,0.0,top
SW81,334.7212,-117.253,0.0,top
SW82,353.7712,-117.253,0.0,top
SW83,372.8212,-117.253,0.0,top
SW9,193.3575,-17.304,0.0,top
U1,309.25,-93.82,0.0,top
U10,162.0,-139.5,0.0,top
U11,368.645,-7.057,0.0,top
U2,376.057,-7.057,0.0,top
U4,358.75,-77.42,270.0,top
U5,375.08238,-73.17,0.0,bottom
U6,1.5467,-80.0213,270.0,top
U7,383.27,-7.0,0.0,top
U8,374.74238,-90.29,270.0,bottom
U9,200.5625,-139.69,0.0,top
